Temp,Prev Temp,Dummy,Simulation Cycle,Pipe Node,Soil Modulus (E_soil),Pressure at Node,Spring Stiffness,Pipe Burst Pressure,Burst Occurred,Constant Burst Pressure,Displacement,New Radius,New Volume
10,15,,Analysis_6,"[-50.0, 1.27, 1.27]",100000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
15,17,,Analysis_7,"[-50.0, -1.27, -1.27]",75000000.0,344076000.0,10000000.0,345000000.0,False,345000000.0,0.02371624702564102,1.26995809,5.066740369556817
15,17,,Analysis_7,"[50.0, -1.27, -1.27]",75000000.0,344076000.0,10000000.0,345000000.0,False,345000000.0,0.02371624702564102,1.26995809,5.066740369556817
15,17,,Analysis_7,"[50.0, 1.27, -1.27]",75000000.0,344076000.0,10000000.0,345000000.0,False,345000000.0,0.02371624702564102,1.26995809,5.066740369556817
15,17,,Analysis_7,"[-50.0, 1.27, -1.27]",75000000.0,344076000.0,10000000.0,345000000.0,False,345000000.0,0.02371624702564102,1.26995809,5.066740369556817
15,17,,Analysis_7,"[-50.0, -1.27, 1.27]",75000000.0,344076000.0,10000000.0,345000000.0,False,345000000.0,0.02371624702564102,1.26995809,5.066740369556817
15,17,,Analysis_7,"[50.0, -1.27, 1.27]",75000000.0,344076000.0,10000000.0,345000000.0,False,345000000.0,0.02371624702564102,1.26995809,5.066740369556817
15,17,,Analysis_7,"[50.0, 1.27, 1.27]",75000000.0,344076000.0,10000000.0,345000000.0,False,345000000.0,0.02371624702564102,1.26995809,5.066740369556817
15,17,,Analysis_7,"[-50.0, 1.27, 1.27]",75000000.0,344076000.0,10000000.0,345000000.0,False,345000000.0,0.02371624702564102,1.26995809,5.066740369556817
20,20,,Analysis_8,"[-50.0, -1.27, -1.27]",50000000.0,345000000.0,10000000.0,345000000.0,False,345000000.0,0.0237799358974359,1.27,5.067074790974977
20,20,,Analysis_8,"[50.0, -1.27, -1.27]",50000000.0,345000000.0,10000000.0,345000000.0,False,345000000.0,0.0237799358974359,1.27,5.067074790974977
20,20,,Analysis_8,"[50.0, 1.27, -1.27]",50000000.0,345000000.0,10000000.0,345000000.0,False,345000000.0,0.0237799358974359,1.27,5.067074790974977
20,20,,Analysis_8,"[-50.0, 1.27, -1.27]",50000000.0,345000000.0,10000000.0,345000000.0,False,345000000.0,0.0237799358974359,1.27,5.067074790974977
20,20,,Analysis_8,"[-50.0, -1.27, 1.27]",50000000.0,345000000.0,10000000.0,345000000.0,False,345000000.0,0.0237799358974359,1.27,5.067074790974977
20,20,,Analysis_8,"[50.0, -1.27, 1.27]",50000000.0,345000000.0,10000000.0,345000000.0,False,345000000.0,0.0237799358974359,1.27,5.067074790974977
20,20,,Analysis_8,"[50.0, 1.27, 1.27]",50000000.0,345000000.0,10000000.0,345000000.0,False,345000000.0,0.0237799358974359,1.27,5.067074790974977
20,20,,Analysis_8,"[-50.0, 1.27, 1.27]",50000000.0,345000000.0,10000000.0,345000000.0,False,345000000.0,0.0237799358974359,1.27,5.067074790974977
25,25,,Analysis_9,"[-50.0, -1.27, -1.27]",50000000.0,345000000.0,10000000.0,345000000.0,False,345000000.0,0.0237799358974359,1.27,5.067074790974977
25,25,,Analysis_9,"[50.0, -1.27, -1.27]",50000000.0,345000000.0,10000000.0,345000000.0,False,345000000.0,0.0237799358974359,1.27,5.067074790974977
25,25,,Analysis_9,"[50.0, 1.27, -1.27]",50000000.0,345000000.0,10000000.0,345000000.0,False,345000000.0,0.0237799358974359,1.27,5.067074790974977
25,25,,Analysis_9,"[-50.0, 1.27, -1.27]",50000000.0,345000000.0,10000000.0,345000000.0,False,345000000.0,0.0237799358974359,1.27,5.067074790974977
25,25,,Analysis_9,"[-50.0, -1.27, 1.27]",50000000.0,345000000.0,10000000.0,345000000.0,False,345000000.0,0.0237799358974359,1.27,5.067074790974977
25,25,,Analysis_9,"[50.0, -1.27, 1.27]",50000000.0,345000000.0,10000000.0,345000000.0,False,345000000.0,0.0237799358974359,1.27,5.067074790974977
25,25,,Analysis_9,"[50.0, 1.27, 1.27]",50000000.0,345000000.0,10000000.0,345000000.0,False,345000000.0,0.0237799358974359,1.27,5.067074790974977
25,25,,Analysis_9,"[-50.0, 1.27, 1.27]",50000000.0,345000000.0,10000000.0,345000000.0,False,345000000.0,0.0237799358974359,1.27,5.067074790974977
30,-5,,Analysis_10,"[-50.0, -1.27, -1.27]",50000000.0,541755000.0,10000000.0,345000000.0,True,345000000.0,0.03734173673076923,1.270733425,5.072928952259665
30,-5,,Analysis_10,"[50.0, -1.27, -1.27]",50000000.0,541755000.0,10000000.0,345000000.0,True,345000000.0,0.03734173673076923,1.270733425,5.072928952259665
30,-5,,Analysis_10,"[50.0, 1.27, -1.27]",50000000.0,541755000.0,10000000.0,345000000.0,True,345000000.0,0.03734173673076923,1.270733425,5.072928952259665
30,-5,,Analysis_10,"[-50.0, 1.27, -1.27]",50000000.0,541755000.0,10000000.0,345000000.0,True,345000000.0,0.03734173673076923,1.270733425,5.072928952259665
30,-5,,Analysis_10,"[-50.0, -1.27, 1.27]",50000000.0,541755000.0,10000000.0,345000000.0,True,345000000.0,0.03734173673076923,1.270733425,5.072928952259665
30,-5,,Analysis_10,"[50.0, -1.27, 1.27]",50000000.0,541755000.0,10000000.0,345000000.0,True,345000000.0,0.03734173673076923,1.270733425,5.072928952259665
30,-5,,Analysis_10,"[50.0, 1.27, 1.27]",50000000.0,541755000.0,10000000.0,345000000.0,True,345000000.0,0.03734173673076923,1.270733425,5.072928952259665
30,-5,,Analysis_10,"[-50.0, 1.27, 1.27]",50000000.0,541755000.0,10000000.0,345000000.0,True,345000000.0,0.03734173673076923,1.270733425,5.072928952259665
-10,0,,Analysis_11,"[-50.0, -1.27, -1.27]",800000000.0,538380000.0,10000000.0,345000000.0,True,345000000.0,0.03710910692307692,1.26979045,5.065402794245068
-10,0,,Analysis_11,"[50.0, -1.27, -1.27]",800000000.0,538380000.0,10000000.0,345000000.0,True,345000000.0,0.03710910692307692,1.26979045,5.065402794245068
-10,0,,Analysis_11,"[50.0, 1.27, -1.27]",800000000.0,538380000.0,10000000.0,345000000.0,True,345000000.0,0.03710910692307692,1.26979045,5.065402794245068
-10,0,,Analysis_11,"[-50.0, 1.27, -1.27]",800000000.0,538380000.0,10000000.0,345000000.0,True,345000000.0,0.03710910692307692,1.26979045,5.065402794245068
-10,0,,Analysis_11,"[-50.0, -1.27, 1.27]",800000000.0,538380000.0,10000000.0,345000000.0,True,345000000.0,0.03710910692307692,1.26979045,5.065402794245068
-10,0,,Analysis_11,"[50.0, -1.27, 1.27]",800000000.0,538380000.0,10000000.0,345000000.0,True,345000000.0,0.03710910692307692,1.26979045,5.065402794245068
-10,0,,Analysis_11,"[50.0, 1.27, 1.27]",800000000.0,538380000.0,10000000.0,345000000.0,True,345000000.0,0.03710910692307692,1.26979045,5.065402794245068
-10,0,,Analysis_11,"[-50.0, 1.27, 1.27]",800000000.0,538380000.0,10000000.0,345000000.0,True,345000000.0,0.03710910692307692,1.26979045,5.065402794245068
-5,3,,Analysis_12,"[-50.0, -1.27, -1.27]",600000000.0,539304000.0,10000000.0,345000000.0,True,345000000.0,0.03717279579487179,1.26983236,5.065737171518871
-5,3,,Analysis_12,"[50.0, -1.27, -1.27]",600000000.0,539304000.0,10000000.0,345000000.0,True,345000000.0,0.03717279579487179,1.26983236,5.065737171518871
-5,3,,Analysis_12,"[50.0, 1.27, -1.27]",600000000.0,539304000.0,10000000.0,345000000.0,True,345000000.0,0.03717279579487179,1.26983236,5.065737171518871
-5,3,,Analysis_12,"[-50.0, 1.27, -1.27]",600000000.0,539304000.0,10000000.0,345000000.0,True,345000000.0,0.03717279579487179,1.26983236,5.065737171518871
-5,3,,Analysis_12,"[-50.0, -1.27, 1.27]",600000000.0,539304000.0,10000000.0,345000000.0,True,345000000.0,0.03717279579487179,1.26983236,5.065737171518871
-5,3,,Analysis_12,"[50.0, -1.27, 1.27]",600000000.0,539304000.0,10000000.0,345000000.0,True,345000000.0,0.03717279579487179,1.26983236,5.065737171518871
-5,3,,Analysis_12,"[50.0, 1.27, 1.27]",600000000.0,539304000.0,10000000.0,345000000.0,True,345000000.0,0.03717279579487179,1.26983236,5.065737171518871
-5,3,,Analysis_12,"[-50.0, 1.27, 1.27]",600000000.0,539304000.0,10000000.0,345000000.0,True,345000000.0,0.03717279579487179,1.26983236,5.065737171518871
0,5,,Analysis_13,"[-50.0, -1.27, -1.27]",400000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
0,5,,Analysis_13,"[50.0, -1.27, -1.27]",400000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
0,5,,Analysis_13,"[50.0, 1.27, -1.27]",400000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
0,5,,Analysis_13,"[-50.0, 1.27, -1.27]",400000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
0,5,,Analysis_13,"[-50.0, -1.27, 1.27]",400000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
0,5,,Analysis_13,"[50.0, -1.27, 1.27]",400000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
0,5,,Analysis_13,"[50.0, 1.27, 1.27]",400000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
0,5,,Analysis_13,"[-50.0, 1.27, 1.27]",400000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
5,10,,Analysis_14,"[-50.0, -1.27, -1.27]",200000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
5,10,,Analysis_14,"[50.0, -1.27, -1.27]",200000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
5,10,,Analysis_14,"[50.0, 1.27, -1.27]",200000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
5,10,,Analysis_14,"[-50.0, 1.27, -1.27]",200000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
5,10,,Analysis_14,"[-50.0, -1.27, 1.27]",200000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
5,10,,Analysis_14,"[50.0, -1.27, 1.27]",200000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
5,10,,Analysis_14,"[50.0, 1.27, 1.27]",200000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
5,10,,Analysis_14,"[-50.0, 1.27, 1.27]",200000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
10,15,,Analysis_15,"[-50.0, -1.27, -1.27]",100000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
10,15,,Analysis_15,"[50.0, -1.27, -1.27]",100000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
10,15,,Analysis_15,"[50.0, 1.27, -1.27]",100000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
10,15,,Analysis_15,"[-50.0, 1.27, -1.27]",100000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
10,15,,Analysis_15,"[-50.0, -1.27, 1.27]",100000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
10,15,,Analysis_15,"[50.0, -1.27, 1.27]",100000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
10,15,,Analysis_15,"[50.0, 1.27, 1.27]",100000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
10,15,,Analysis_15,"[-50.0, 1.27, 1.27]",100000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
15,20,,Analysis_16,"[-50.0, -1.27, -1.27]",75000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
15,20,,Analysis_16,"[50.0, -1.27, -1.27]",75000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
15,20,,Analysis_16,"[50.0, 1.27, -1.27]",75000000.0,342690000.0,10000000.0,345000000.0,False,345000000.0,0.02362071371794872,1.269895225,5.066238758122244
